City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
255,Brae,GB,60.3964,-1.353,39.2,65,75,18.41,broken clouds
256,Mahajanga,MG,-15.7167,46.3167,77.0,94,40,4.61,light rain
257,Sabha,LY,27.0377,14.4283,50.43,48,0,9.17,clear sky
258,Kasangulu,CD,-4.5911,15.1708,77.0,83,75,4.61,broken clouds
259,High Level,CA,58.5169,-117.136,-2.2,78,75,11.5,snow
260,Sao Filipe,CV,14.8961,-24.4956,71.37,79,0,10.78,clear sky
261,Caohai,CN,26.8661,104.2841,41.58,82,99,2.84,overcast clouds
262,Mutsu,JP,41.2894,141.2169,30.2,55,75,35.68,snow
263,Barhi,IN,23.9,80.8,60.71,31,0,1.79,clear sky
264,Laguna,US,38.421,-121.4238,60.01,47,40,6.91,scattered clouds
265,Benton Harbor,US,42.1167,-86.4542,32.0,74,75,6.91,broken clouds
266,Tocopilla,CL,-22.092,-70.1979,66.94,66,74,4.07,broken clouds
267,Cockburn Town,TC,21.4612,-71.1419,77.99,82,3,11.88,clear sky
268,Dennery,LC,13.8996,-60.8879,78.8,69,20,17.27,few clouds
269,Saint-Jean-De-Maurienne,FR,45.1667,6.5833,43.0,89,80,1.99,broken clouds
270,Olafsvik,IS,64.8945,-23.7142,35.53,80,100,12.3,overcast clouds
271,Wanning,CN,18.8003,110.3967,74.01,73,43,8.57,scattered clouds
272,Kavaratti,IN,10.5669,72.642,81.61,74,0,9.82,clear sky
273,Samarai,PG,-10.6167,150.6667,84.99,70,98,11.99,moderate rain
274,Ambunti,PG,-4.2365,142.8448,75.13,96,100,0.78,overcast clouds
275,Vestmannaeyjar,IS,63.4427,-20.2734,37.85,77,100,31.16,overcast clouds
276,Tucuman,AR,-26.8241,-65.2226,66.2,94,90,5.75,mist
277,Esmeraldas,BR,-19.7625,-44.3139,73.4,73,0,2.3,light rain
278,Mount Gambier,AU,-37.8333,140.7667,66.2,45,56,17.27,broken clouds
279,Unai,BR,-16.3575,-46.9061,72.3,78,93,0.85,overcast clouds
280,Biltine,TD,14.5333,20.9167,69.08,23,0,6.87,clear sky
281,Maragogi,BR,-9.0122,-35.2225,77.54,81,81,7.02,broken clouds
282,Wakefield,GB,53.6809,-1.499,36.0,94,100,9.98,snow
283,Tessalit,ML,20.1986,1.0114,61.48,31,19,9.86,few clouds
284,Saldanha,ZA,-33.0117,17.9442,66.2,55,0,2.3,clear sky
285,Baymak,RU,52.5933,58.3225,25.03,98,100,8.1,overcast clouds
286,Gornopravdinsk,RU,60.05,69.9,17.17,96,100,9.73,overcast clouds
287,Lagoa,PT,39.05,-27.9833,57.06,72,56,29.95,broken clouds
288,Tam Ky,VN,15.5667,108.4833,75.2,73,75,2.3,broken clouds
289,Soure,BR,-0.7167,-48.5233,78.26,87,96,10.96,moderate rain
290,Luwuk,ID,-0.9516,122.7875,89.74,54,82,0.98,broken clouds
291,Pushkino,RU,56.0172,37.8667,14.0,92,64,2.24,broken clouds
292,Giddalur,IN,15.35,78.9167,72.27,80,46,5.32,scattered clouds
293,Grand Gaube,MU,-20.0064,57.6608,82.99,76,17,7.0,few clouds
294,Guaratuba,BR,-25.8828,-48.5747,75.2,100,40,3.44,scattered clouds
295,Sakakah,SA,29.9697,40.2064,51.8,43,0,5.75,clear sky
296,Kuito,AO,-12.3833,16.9333,60.66,93,100,3.44,overcast clouds
297,Milot,HT,19.6167,-72.2167,73.2,76,87,3.31,overcast clouds
298,Darlowo,PL,54.421,16.4107,26.01,76,99,10.8,overcast clouds
299,Pundaguitan,PH,6.3711,126.1689,81.75,71,93,7.09,overcast clouds
300,Coquimbo,CL,-29.9533,-71.3436,59.0,88,0,5.75,clear sky
301,Leh,IN,34.1667,77.5833,5.11,71,51,1.92,broken clouds
302,Turukhansk,RU,65.8167,87.9833,-8.3,86,99,8.84,overcast clouds
303,Bay Roberts,CA,47.5999,-53.2648,27.0,86,90,12.66,overcast clouds
304,Iqaluit,CA,63.7506,-68.5145,-22.0,76,40,8.32,scattered clouds
305,Honiara,SB,-9.4333,159.95,79.21,84,97,11.54,heavy intensity rain
