City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Oga,IT,2021-02-01 00:24:08,46.4631,10.347,45.0,92,75,3.44
121,Zapolyarnyy,RU,2021-02-01 00:24:08,69.4154,30.8136,3.2,92,27,2.3
122,Rudbar,AF,2021-02-01 00:24:08,30.15,62.6,59.67,33,0,12.44
123,Pinheiro,BR,2021-02-01 00:19:24,-2.5214,-45.0825,75.42,94,91,2.59
124,Fonte Boa,BR,2021-02-01 00:24:09,-2.4959,-66.2662,76.23,95,92,1.68
125,Washington,US,2021-02-01 00:21:52,47.5001,-120.5015,41.0,84,100,2.53
126,Beringovskiy,RU,2021-02-01 00:21:37,63.05,179.3167,13.68,96,100,30.56
127,Bilma,NE,2021-02-01 00:24:09,18.6853,12.9164,58.41,29,32,1.99
128,Dikson,RU,2021-02-01 00:24:09,73.5069,80.5464,-26.28,79,67,8.19
129,Deputatskiy,RU,2021-02-01 00:24:09,69.3,139.9,-27.22,88,98,2.15
130,Moron,AR,2021-02-01 00:19:19,-34.6534,-58.6198,68.0,94,100,3.0
131,Aksay,RU,2021-02-01 00:24:09,47.26,39.87,37.99,100,90,6.71
132,Tasiilaq,GL,2021-02-01 00:22:42,65.6145,-37.6368,12.2,57,40,2.3
133,Sahuaripa,MX,2021-02-01 00:24:10,29.05,-109.2333,77.09,25,46,3.65
134,Vardo,NO,2021-02-01 00:24:10,70.3705,31.1107,15.8,86,75,9.22
135,Hasaki,JP,2021-02-01 00:21:05,35.7333,140.8333,39.0,64,75,5.75
136,Wanning,CN,2021-02-01 00:24:10,18.8003,110.3967,66.56,90,40,6.53
137,Ivanivka,UA,2021-02-01 00:24:10,46.7208,34.553,40.55,89,99,7.4
138,Kavaratti,IN,2021-02-01 00:24:10,10.5669,72.642,80.89,73,0,10.78
139,Vallenar,CL,2021-02-01 00:24:10,-28.5708,-70.7581,69.04,60,0,2.8
140,Awjilah,LY,2021-02-01 00:24:11,29.1081,21.2869,61.83,29,0,13.51
141,Debno,PL,2021-02-01 00:24:11,52.739,14.698,19.0,73,47,3.74
142,Vila Franca Do Campo,PT,2021-02-01 00:22:38,37.7167,-25.4333,62.01,94,75,18.41
143,Puri,IN,2021-02-01 00:24:11,19.8,85.85,59.0,94,34,7.54
144,Clyde River,CA,2021-02-01 00:20:24,70.4692,-68.5914,-4.0,84,90,17.27
145,Lompoc,US,2021-02-01 00:24:11,34.6391,-120.4579,60.8,63,1,3.44
146,San Quintin,MX,2021-02-01 00:21:45,30.4833,-115.95,62.31,52,80,7.99
147,Arcata,US,2021-02-01 00:24:11,40.8665,-124.0828,55.99,88,90,10.36
148,Tuatapere,NZ,2021-02-01 00:24:12,-46.1333,167.6833,70.09,52,5,4.18
149,Marystown,CA,2021-02-01 00:24:12,47.1666,-55.1483,30.47,92,98,16.35
150,College,US,2021-02-01 00:23:47,64.8569,-147.8028,-2.2,71,90,3.44
151,Sokolo,ML,2021-02-01 00:24:12,14.7328,-6.1219,70.59,19,98,9.82
152,Ostrovnoy,RU,2021-02-01 00:21:08,68.0531,39.5131,10.85,94,93,2.51
153,Dingle,PH,2021-02-01 00:24:12,10.9995,122.6711,76.8,84,96,10.94
154,Tyukhtet,RU,2021-02-01 00:24:12,56.5389,89.3011,-13.72,85,74,9.26
155,Vila Velha,BR,2021-02-01 00:24:12,-20.3297,-40.2925,78.8,83,20,14.97
156,Saskylakh,RU,2021-02-01 00:23:15,71.9167,114.0833,-31.27,83,60,7.56
157,Santa Luzia,BR,2021-02-01 00:24:13,-19.7697,-43.8514,77.0,60,0,6.91
158,Sarai,RU,2021-02-01 00:24:13,53.7458,41.0213,19.87,96,84,13.58
159,Cajabamba,PE,2021-02-01 00:24:13,-7.6167,-78.05,59.83,63,52,4.59
160,Prince George,CA,2021-02-01 00:22:01,53.9166,-122.753,30.99,100,90,8.05
161,Manaus,BR,2021-02-01 00:21:14,-3.1019,-60.025,80.6,89,0,2.3
162,Whitefish,US,2021-02-01 00:24:13,48.4111,-114.3376,37.4,65,90,0.36
163,Porirua,NZ,2021-02-01 00:23:47,-41.1333,174.85,64.4,77,31,11.5
164,Shaping,CN,2021-02-01 00:24:14,22.7545,112.9565,64.0,84,26,0.94
165,Tignere,CM,2021-02-01 00:24:14,7.3667,12.65,65.68,27,0,1.57
166,Katsuura,JP,2021-02-01 00:21:52,35.1333,140.3,45.0,52,75,9.22
167,Luanda,AO,2021-02-01 00:24:14,-8.8368,13.2343,80.6,78,40,6.91
168,Georgetown,MY,2021-02-01 00:24:15,5.4112,100.3354,80.01,73,20,3.44
169,Rosario,AR,2021-02-01 00:21:46,-32.9468,-60.6393,66.0,100,90,9.22
170,Rio Gallegos,AR,2021-02-01 00:22:44,-51.6226,-69.2181,66.2,27,0,21.85
171,Yulara,AU,2021-02-01 00:24:15,-25.2406,130.9889,86.0,25,99,19.57
172,Antofagasta,CL,2021-02-01 00:24:15,-23.65,-70.4,68.0,77,75,12.66
173,Sotouboua,TG,2021-02-01 00:24:15,8.5667,0.9833,71.6,46,0,2.19
174,Sao Filipe,CV,2021-02-01 00:22:42,14.8961,-24.4956,73.18,70,0,5.23
175,Mehamn,NO,2021-02-01 00:24:15,71.0357,27.8492,25.3,93,100,11.54
176,Castro,BR,2021-02-01 00:24:16,-24.7911,-50.0119,64.85,95,100,4.54
177,Hay River,CA,2021-02-01 00:22:31,60.8156,-115.7999,-5.8,77,100,6.91
178,Avarua,CK,2021-02-01 00:20:21,-21.2078,-159.775,82.4,69,20,6.91
179,Ozernovskiy,RU,2021-02-01 00:24:16,51.5,156.5167,14.81,95,100,23.42
180,Sitka,US,2021-02-01 00:23:17,57.0531,-135.33,42.8,45,40,3.15
181,Moroni,KM,2021-02-01 00:24:16,-11.7022,43.2551,80.58,73,71,4.45
182,Saint Pete Beach,US,2021-02-01 00:24:16,27.7253,-82.7412,70.0,78,1,12.66
183,Monrovia,LR,2021-02-01 00:24:16,6.3005,-10.7969,77.0,94,20,8.37
184,Vagur,FO,2021-02-01 00:24:17,61.4732,-6.8119,32.86,86,96,13.44
185,Tuktoyaktuk,CA,2021-02-01 00:24:17,69.4541,-133.0374,-23.8,76,75,3.51
186,Yakima,US,2021-02-01 00:24:17,46.4665,-120.6678,44.01,81,90,6.91
187,Sosnovo-Ozerskoye,RU,2021-02-01 00:24:17,52.5249,111.5418,-35.97,82,59,9.06
188,Acapulco,MX,2021-02-01 00:21:11,16.8634,-99.8901,82.4,69,20,4.61
189,Adrar,MR,2021-02-01 00:24:17,20.5022,-10.0711,66.45,23,39,7.78
190,Santiago,CL,2021-02-01 00:24:17,-33.4569,-70.6483,73.4,53,75,11.5
191,Kabalo,CD,2021-02-01 00:24:11,-6.05,26.9167,70.21,94,100,0.83
192,Shetpe,KZ,2021-02-01 00:24:18,44.1667,52.1167,34.81,92,4,2.66
193,Tocopilla,CL,2021-02-01 00:24:18,-22.092,-70.1979,69.39,66,16,8.68
194,Codrington,AU,2021-02-01 00:24:18,-38.2667,141.9667,62.2,67,100,6.02
195,Shizunai,JP,2021-02-01 00:24:18,42.3339,142.3669,27.05,88,13,4.88
196,Troitskoye,RU,2021-02-01 00:24:18,52.9821,84.6757,6.69,88,26,7.85
197,Paamiut,GL,2021-02-01 00:22:35,61.994,-49.6678,22.26,90,0,13.85
198,Quang Ngai,VN,2021-02-01 00:24:18,15.1167,108.8,67.86,88,54,4.34
199,Newport,GB,2021-02-01 00:24:19,51.5877,-2.9984,37.99,97,100,1.01
200,Pontes E Lacerda,BR,2021-02-01 00:24:19,-15.2261,-59.3353,76.87,76,3,3.87
201,Emerald,AU,2021-02-01 00:24:19,-23.5333,148.1667,84.2,51,75,9.22
202,Filadelfia,US,2021-02-01 00:24:19,39.9523,-75.1638,26.6,86,90,13.8
203,Acurenam,GQ,2021-02-01 00:24:19,1.0322,10.6488,69.06,98,98,4.97
204,Sidi Ali,DZ,2021-02-01 00:24:19,36.0998,0.4206,56.32,90,54,27.96
205,Pavlodar,KZ,2021-02-01 00:24:19,52.3,76.95,1.4,85,0,15.66
206,Goure,NE,2021-02-01 00:24:19,13.9835,10.2704,70.0,17,0,8.01
207,Faanui,PF,2021-02-01 00:20:48,-16.4833,-151.75,81.81,72,75,9.57
208,Aboso,GH,2021-02-01 00:24:20,5.3617,-1.9473,75.49,94,40,3.69
209,Nome,US,2021-02-01 00:20:36,64.5011,-165.4064,3.2,55,90,9.22
210,Nikolskoye,RU,2021-02-01 00:24:20,59.7035,30.7861,26.01,93,75,6.71
211,Aklavik,CA,2021-02-01 00:24:20,68.2191,-135.0107,-20.2,76,100,5.75
212,Takhtamygda,RU,2021-02-01 00:24:20,54.1,123.5667,-37.95,75,5,3.65
213,Chuy,UY,2021-02-01 00:24:21,-33.6971,-53.4616,69.21,91,100,14.41
214,Helena,US,2021-02-01 00:23:39,46.5927,-112.0361,39.2,45,1,5.75
215,Tigil,RU,2021-02-01 00:19:54,57.8,158.6667,-0.81,91,100,20.67
216,Zhigansk,RU,2021-02-01 00:23:48,66.7697,123.3711,-45.08,76,44,2.48
217,Tutoia,BR,2021-02-01 00:24:21,-2.7619,-42.2744,79.36,87,85,11.99
218,Guerrero Negro,MX,2021-02-01 00:20:23,27.9769,-114.0611,68.5,34,91,9.01
219,Murgab,TM,2021-02-01 00:24:21,37.4966,61.9714,37.4,87,0,6.76
220,Lodi,US,2021-02-01 00:24:13,38.1302,-121.2725,64.0,51,66,4.0
221,Itarema,BR,2021-02-01 00:24:22,-2.9248,-39.9167,80.19,81,21,14.76
222,Bambous Virieux,MU,2021-02-01 00:24:22,-20.3428,57.7575,80.6,74,40,13.8
223,Necochea,AR,2021-02-01 00:21:36,-38.5473,-58.7368,55.99,81,59,1.01
224,Manggar,ID,2021-02-01 00:24:22,-2.8833,108.2667,79.48,83,97,9.82
225,Quatre Cocos,MU,2021-02-01 00:24:22,-20.2078,57.7625,80.6,74,40,13.8
226,Klaksvik,FO,2021-02-01 00:24:22,62.2266,-6.589,21.2,86,100,17.0
227,Calabozo,VE,2021-02-01 00:24:22,8.9242,-67.4293,84.43,50,100,7.52
228,Airai,TL,2021-02-01 00:24:22,-8.9266,125.4092,61.57,100,100,4.74
229,Uribia,CO,2021-02-01 00:24:23,11.7139,-72.266,80.56,66,89,23.53
230,Hare Bay,CA,2021-02-01 00:24:23,48.8499,-54.0148,26.6,93,90,17.27
231,Blakstad,NO,2021-02-01 00:24:23,59.8191,10.4645,18.0,89,51,1.01
232,Ariquemes,BR,2021-02-01 00:24:23,-9.9133,-63.0408,74.95,95,52,1.88
233,Cabo San Lucas,MX,2021-02-01 00:24:23,22.8909,-109.9124,75.0,64,90,5.75
